id,name,legal_name,alias1,alias2,alias3,phone,crunchbase_url,homepage_url,linkedin_url,twitter_url,facebook_url,instagram_handle,completeness_score,updated_at,SOURCE
6cd55bda-ad85-dd03-c385-572c12f7bc34,iCelebrate.com,,,,,,https://www.crunchbase.com/organization/icelebrate-com,http://www.iCelebrate.com,,,,,"0,5",13.02.2018 0:49:38,source1
104bd03f-91c9-4666-b74a-d7fda795c8cd,BioHemp,,,,,,https://www.crunchbase.com/organization/biohemp,https://www.biohempnaturals.com/,,,,,"0,5",11.04.2022 10:25:35,source1
a2c7210c-dc60-4a0b-a580-14db2dc9142f,12Tone Music,,,,,,https://www.crunchbase.com/organization/12tone-music,https://www.12tonemusicgroup.com/,,,,,"0,5",13.03.2023 4:56:58,source1
d6cf2e25-a742-0002-7ba2-5f735c974734,Market Quality Dashboard,,,,,,https://www.crunchbase.com/organization/market-quality-dashboard,https://www.mqdashboard.com/,,,,,"0,5",13.02.2018 0:37:08,source1
6aa10db6-dca6-4d78-b8ef-0feed3dd9413,Innovative Software Services,,,,,,https://www.crunchbase.com/organization/innovative-software-services,http://www.issi-central.com/,,,,,"0,5",19.07.2022 1:15:43,source1
25f5636c-0efd-4d79-bac8-445c3aacb740,LIVE STA.,,,,,,https://www.crunchbase.com/organization/live-sta,https://livesta.jp/,,,,,"0,5",04.03.2022 6:17:51,source1
037f613f-0829-d50e-c600-6530967685c4,Marketing Automation Institute,,,,,,https://www.crunchbase.com/organization/marketing-automation-institute,http://www.marketingautomationinstitute.com,,,,,"0,5",12.02.2018 23:35:54,source1
9962c175-f891-4318-a572-7004fa1017fa,Dedham Savings,,,,,,https://www.crunchbase.com/organization/dedham-savings,http://dedhamsavings.com,,,,,"0,5",31.07.2020 3:35:01,source1
4bad6013-fc47-594b-7c71-9af36bb4c957,Vivid Communications,,,,,,https://www.crunchbase.com/organization/vivid-communications,http://www.vividfirst.com,,,,,"0,5",17.02.2023 4:49:54,source1
8f706312-55bb-465d-baf6-1d7c5adb2923,URay,,,,,,https://www.crunchbase.com/organization/uray,https://uray.ai/,,,,,"0,5",01.07.2022 16:13:15,source1
882232f5-4627-00eb-e26e-3d2e38644b56,Holland George Capital Management,,,,,,https://www.crunchbase.com/organization/holland-george,https://www.hollandgeorgecap.com,,,,,"0,5",01.04.2023 15:51:51,source1
